#      name         ra(2000.0)  dec(2000.0)   g   gerr   r   rerr   i   ierr    z     zerr
J122708.4+220520 12 27 08.467 +22 05 20.492 22.79 0.03 20.70 0.03 20.36 0.03 0.45884 0.00015
J122655.3+215247 12 26 55.397 +21 52 47.564 22.51 0.03 20.47 0.03 20.06 0.03 0.53557 0.00009
J122703.6+215442 12 27 03.644 +21 54 42.186 22.54 0.03 20.43 0.03 20.07 0.03 0.43739 0.00015
J122704.5+215854 12 27 04.581 +21 58 54.405 22.05 0.03 20.50 0.03 20.15 0.03 0.66557 0.00006
J122713.3+220147 12 27 13.363 +22 01 47.639 23.03 0.03 20.91 0.03 20.55 0.03 0.51262 0.00013
J122700.7+215512 12 27 00.798 +21 55 12.591 21.55 0.03 19.51 0.03 19.16 0.03 0.48347 0.00010
J122730.4+220452 12 27 30.406 +22 04 52.003 22.39 0.03 20.39 0.03 20.07 0.03 0.45994 0.00010
J122739.4+220238 12 27 39.419 +22 02 38.595 22.27 0.03 20.23 0.03 19.92 0.03 0.43486 0.00011
J122709.6+215615 12 27 09.620 +21 56 15.755 22.95 0.03 20.99 0.03 20.71 0.03 0.43843 0.00019
J122726.9+220050 12 27 26.906 +22 00 50.619 22.17 0.03 20.08 0.03 19.71 0.03 0.45971 0.00014
J122729.3+220058 12 27 29.348 +22 00 58.743 21.58 0.03 19.54 0.03 19.21 0.03 0.51711 0.00010
J122702.6+215305 12 27 02.670 +21 53 05.403 22.72 0.03 20.57 0.03 20.15 0.03 0.52057 0.00013
J122702.8+215335 12 27 02.845 +21 53 35.005 21.46 0.03 19.39 0.03 19.10 0.03 0.53412 0.00007
J122743.0+220105 12 27 43.085 +22 01 05.376 22.17 0.03 20.06 0.03 19.74 0.03 0.43671 0.00011
J122745.3+220243 12 27 45.322 +22 02 43.168 23.09 0.03 21.04 0.03 20.70 0.03 0.46010 0.00012
J122733.8+215513 12 27 33.838 +21 55 13.724 22.42 0.03 20.24 0.03 19.89 0.03 0.46009 0.00009
J122741.7+215739 12 27 41.711 +21 57 39.402 22.58 0.03 20.43 0.03 20.08 0.03 0.46207 0.00013
J122742.6+215711 12 27 42.612 +21 57 11.834 20.89 0.03 18.87 0.03 18.63 0.03 0.36946 0.00008
J122705.8+215228 12 27 05.848 +21 52 28.222 22.96 0.03 20.92 0.03 20.53 0.03 0.52461 0.00016
J122755.7+215405 12 27 55.745 +21 54 05.066 21.96 0.03 19.96 0.03 19.67 0.03 0.45940 0.00009
J122745.2+215521 12 27 45.234 +21 55 21.998 21.80 0.03 19.72 0.03 19.40 0.03 0.45833 0.00008
J122757.5+215440 12 27 57.528 +21 54 40.662 22.90 0.03 20.74 0.03 20.42 0.03 0.45900 0.00015
J122725.6+215316 12 27 25.613 +21 53 16.081 22.94 0.03 20.95 0.03 20.61 0.03 0.46117 0.00014
J122718.1+215218 12 27 18.164 +21 52 18.121 23.08 0.03 20.94 0.03 20.61 0.03 0.48345 0.00012
J122754.8+215016 12 27 54.814 +21 50 16.722 22.02 0.03 19.98 0.03 19.75 0.03 0.51052 0.00013
J122708.0+215203 12 27 08.035 +21 52 03.132 22.98 0.03 21.01 0.03 20.59 0.03 0.52303 0.00013
J122758.9+214517 12 27 58.942 +21 45 17.709 23.31 0.03 21.25 0.03 20.96 0.03 0.43667 0.00020
J122747.9+215020 12 27 47.963 +21 50 20.890 22.50 0.03 20.44 0.03 20.14 0.03 0.45871 0.00015
J122759.4+214547 12 27 59.487 +21 45 47.063 22.48 0.03 20.85 0.03 20.49 0.03 0.54456 0.00013
J122803.0+214858 12 28 03.091 +21 48 58.815 22.06 0.03 19.96 0.03 19.75 0.03 0.42458 0.00011
J122652.5+215209 12 26 52.518 +21 52 09.991 22.27 0.03 20.16 0.03 19.86 0.03 0.43020 0.00011
J122722.1+214944 12 27 22.181 +21 49 44.326 22.07 0.03 20.01 0.03 19.73 0.03 0.39547 0.00011
J122728.6+214623 12 27 28.656 +21 46 23.977 22.79 0.03 20.78 0.03 20.46 0.03 0.43216 0.00015
J122705.7+215036 12 27 05.706 +21 50 36.106 22.83 0.03 20.86 0.03 20.59 0.03 0.43340 0.00016
J122759.1+214151 12 27 59.176 +21 41 51.742 21.78 0.03 20.02 0.03 19.90 0.03 0.30266 0.00012
J122723.2+214428 12 27 23.269 +21 44 28.607 21.96 0.03 19.86 0.03 19.53 0.03 0.43718 0.00009
J122720.4+214748 12 27 20.427 +21 47 48.214 22.47 0.03 20.36 0.03 20.07 0.03 0.43299 0.00013
J122741.9+214141 12 27 41.993 +21 41 41.704 22.56 0.03 20.42 0.03 20.12 0.03 0.47526 0.00010
