name             ra            dec            g     gerr r     rerr i     ierr z       zerr
J122559.8+215503 12h25m59.858s +21d55m03.605s 20.57 0.03 18.54 0.03 18.29 0.03 0.34729 0.00050
J122600.8+215102 12h26m00.814s +21d51m02.128s 20.79 0.03 18.76 0.03 18.45 0.03 0.43679 0.00050
J122605.2+215821 12h26m05.290s +21d58m21.320s 22.53 0.03 20.35 0.03 19.80 0.03 0.54938 0.00050
J122608.2+215144 12h26m08.268s +21d51m44.194s 18.20 0.03 17.20 0.03 17.09 0.03 0.18673 0.00050
J122615.9+214255 12h26m15.926s +21d42m55.829s 17.00 0.03 15.95 0.03 15.71 0.03 0.07322 0.00050
J122617.8+220408 12h26m17.856s +22d04m08.076s 22.14 0.03 19.97 0.03 19.49 0.03 0.53420 0.00050
J122618.6+215717 12h26m18.626s +21d57m17.885s 22.05 0.03 19.95 0.03 19.56 0.03 0.47961 0.00050
J122619.8+220543 12h26m19.805s +22d05m43.386s 20.86 0.03 20.48 0.03 20.86 0.03 2.53127 0.00050
J122622.9+215401 12h26m22.903s +21d54m01.692s 21.00 0.03 18.89 0.03 18.59 0.03 0.43027 0.00050
J122624.3+215632 12h26m24.355s +21d56m32.968s 15.99 0.03 16.57 0.03 15.75 0.03 -0.00041 0.00050
J122634.5+214956 12h26m34.565s +21d49m56.896s 19.11 0.03 18.53 0.03 18.46 0.03 0.12829 0.00050
J122634.7+215218 12h26m34.786s +21d52m18.746s 18.32 0.03 18.22 0.03 17.79 0.03 0.00011 0.00050
J122638.8+215322 12h26m38.806s +21d53m22.704s 21.04 0.03 18.84 0.03 18.50 0.03 0.43427 0.00050
J122639.3+215950 12h26m39.391s +21d59m50.687s 22.12 0.03 20.12 0.03 19.56 0.03 0.61154 0.00050
J122641.8+215217 12h26m41.849s +21d52m17.512s 21.53 0.03 20.09 0.03 19.84 0.03 0.43463 0.00050
J122649.1+215002 12h26m49.178s +21d50m02.436s 20.77 0.03 18.56 0.03 18.28 0.03 0.43121 0.00050
J122649.6+214603 12h26m49.694s +21d46m03.803s 22.29 0.03 20.10 0.03 19.53 0.03 0.56756 0.00050
J122650.6+220404 12h26m50.676s +22d04m04.649s 17.98 0.03 17.17 0.03 17.15 0.03 0.07346 0.00050
J122651.6+215225 12h26m51.684s +21d52m25.446s 20.88 0.03 18.73 0.03 18.41 0.03 0.43774 0.00050
J122655.4+214039 12h26m55.428s +21d40m39.565s 18.29 0.03 17.09 0.03 16.97 0.03 0.21168 0.00050
J122655.7+214640 12h26m55.730s +21d46m40.436s 22.31 0.03 20.11 0.03 19.68 0.03 0.51946 0.00050
J122656.7+220124 12h26m56.794s +22d01m24.737s 21.26 0.03 19.47 0.03 19.13 0.03 0.51859 0.00050
J122659.2+214406 12h26m59.251s +21d44m06.223s 21.58 0.03 19.65 0.03 19.30 0.03 0.44059 0.00050
J122700.1+215657 12h27m00.113s +21d56m57.325s 19.11 0.03 18.96 0.03 18.93 0.03 0.43634 0.00050
J122703.4+215338 12h27m03.475s +21d53m38.962s 20.81 0.03 18.60 0.03 18.35 0.03 0.44023 0.00050
J122705.1+214349 12h27m05.153s +21d43m49.296s 20.86 0.03 20.48 0.03 20.84 0.03 2.46813 0.00050
J122708.6+215532 12h27m08.626s +21d55m32.974s 21.84 0.03 20.09 0.03 19.74 0.03 0.55613 0.00050
J122708.7+215117 12h27m08.717s +21d51m17.474s 21.99 0.03 20.24 0.03 19.72 0.03 0.66368 0.00050
